GSE111062_SEEDLING_C_60PPFD_30MIN_7D	GSE111062_SEEDLING_C_60PPFD_360MIN_7D	GSE111062_SEEDLING_C_60PPFD_720MIN_7D	GSE111062_SEEDLING_C_60PPFD_1440MIN_7D	GSE111062_SEEDLING_C_60PPFD_2880MIN_7D	GSE111062_SEEDLING_C_60PPFD_4320MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_30MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_360MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_720MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_1440MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_2880MIN_7D	GSE111062_SEEDLING_HL_1200PPFD_4320MIN_7D	GSE117296_LOCAL LEAF_C_50PPFD_0MIN_25D	GSE117296_LOCAL LEAF_HL_2000PPFD_2MIN_25D	GSE117296_LOCAL LEAF_HL_2000PPFD_4MIN_25D	GSE117296_LOCAL LEAF_HL_2000PPFD_8MIN_25D	GSE117296_SYSTEMIC LEAF_C_50PPFD_0MIN_25D	GSE117296_SYSTEMIC LEAF_HL_2000PPFD_2MIN_25D	GSE117296_SYSTEMIC LEAF_HL_2000PPFD_4MIN_25D	GSE117296_SYSTEMIC LEAF_HL_2000PPFD_8MIN_25D	GSE117298_LOCAL LEAF_C_50PPFD_0MIN_25D	GSE117298_LOCAL LEAF_HL_2000PPFD_8MIN_25D	GSE117298_SYSTEMIC LEAF_C_50PPFD_0MIN_25D	GSE117298_SYSTEMIC LEAF_HL_2000PPFD_8MIN_25D	GSE132626_LEAF_C_120PPFD_0MIN_15D	GSE132626_LEAF_HL_500PPFD_15MIN_15D	GSE132626_LEAF_HL_500PPFD_30MIN_15D	GSE132626_LEAF_HL_500PPFD_60MIN_15D	GSE132626_LEAF_HL_500PPFD_120MIN_15D	GSE132626_LEAF_HL_500PPFD_240MIN_15D	GSE134391_LEAF_C_50PPFD_420MIN_30D	GSE134391_LEAF_HL_600PPFD_420MIN_30D	GSE137650_LEAF_C_125PPFD_0MIN_21D	GSE137650_LEAF_C_125PPFD_360MIN_21D	GSE137650_LEAF_C_125PPFD_1800MIN_21D	GSE137650_LEAF_HL_500PPFD_360MIN_21D	GSE137650_LEAF_HL_500PPFD_1800MIN_21D	GSE138196_LOCAL LEAF_C_50PPFD_0MIN_28D	GSE138196_SYSTEMIC LEAF_C_50PPFD_0MIN_28D	GSE138196_LOCAL LEAF_HL_1700PPFD_2MIN_28D	GSE138196_SYSTEMIC LEAF_HL_1700PPFD_2MIN_28D	GSE138196_LOCAL LEAF_HL_1700PPFD_8MIN_28D	GSE138196_SYSTEMIC LEAF_HL_1700PPFD_8MIN_28D	GSE141916_LOCAL LEAF_C_50PPFD_0MIN_28D	GSE141916_LOCAL LEAF_HL_1700PPFD_2MIN_28D	GSE141916_LOCAL LEAF_HL_1700PPFD_8MIN_28D	GSE141916_LOCAL LEAF_HL_1700PPFD_30MIN_28D	GSE141916_SYSTEMIC LEAF_C_50PPFD_0MIN_28D	GSE141916_SYSTEMIC LEAF_HL_1700PPFD_2MIN_28D	GSE141916_SYSTEMIC LEAF_HL_1700PPFD_8MIN_28D	GSE141916_SYSTEMIC LEAF_HL_1700PPFD_30MIN_28D	GSE147962_SEEDLING_C_50PPFD_0MIN_10D	GSE147962_SEEDLING_HL_700PPFD_90MIN_10D	GSE158898_LEAF_C_150PPFD_0MIN_35D	GSE158898_LEAF_HL_1100PPFD_210MIN_35D	GSE201015_LEAF_C_100PPFD_0MIN_21D	GSE201015_LEAF_HL_1000PPFD_30MIN_21D	GSE201015_LEAF_HL_1000PPFD_60MIN_21D	GSE208563_SEEDLING_C_100PPFD_0MIN_7D	GSE208563_SEEDLING_HL_1200PPFD_360MIN_7D	GSE236872_LEAF_C_100PPFD_0MIN_28D	GSE236872_LEAF_HL_500PPFD_240MIN_28D	GSE236872_LEAF_HL_500PPFD_480MIN_28D	GSE236872_LEAF_HL_500PPFD_960MIN_28D	GSE242435_LEAF_C_50PPFD_0MIN_30D	GSE242435_LEAF_HL_900PPFD_480MIN_30D	GSE268410_LEAF_C_120PPFD_180MIN_32D	GSE268410_LEAF_HL_1000PPFD_180MIN_32D	GSE277977_LEAF_C_100PPFD_0MIN_39D	GSE277977_LEAF_HL_1000PPFD_15MIN_39D	GSE277977_LEAF_HL_1000PPFD_60MIN_39D	GSE60865_SEEDLING_C_50PPFD_0MIN_21D	GSE60865_SEEDLING_HL_1000PPFD_0.33MIN_21D	GSE60865_SEEDLING_HL_1000PPFD_1MIN_21D	PRJNA817005_SEEDLING_C_130PPFD_0MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_2MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_2MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_10MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_10MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_30MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_30MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_60MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_60MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_180MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_180MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_1440MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_1440MIN_49D	PRJNA817005_SEEDLING_C_130PPFD_4320MIN_49D	PRJNA817005_SEEDLING_HL_1330PPFD_4320MIN_49D	PRJNA899318_SEEDLING_C_120PPFD_0MIN_7D	PRJNA899318_SEEDLING_HL_1000PPFD_240MIN_7D	GSE251796_SEEDLING_C_130PPFD_60MIN_7D	GSE251796_SEEDLING_HL_1050PPFD_60MIN_7D	GSE251796_SEEDLING_C_130PPFD_1440MIN_7D	GSE251796_SEEDLING_HL_1050PPFD_1440MIN_7D	GSE251796_SEEDLING_C_130PPFD_7200MIN_7D	GSE251796_SEEDLING_HL_1050PPFD_7200MIN_7D	PRJNA699408_LEAF_C_150PPFD_0MIN_49D	PRJNA699408_LEAF_HL_1200PPFD_480MIN_49D
GSE111062_SEEDLING_C_60PPFD_30MIN_7D	1	0.98	0.97	0.99	0.99	0.99	0.99	0.9	0.86	0.8	0.83	0.84	0.91	0.84	0.91	0.9	0.91	0.84	0.92	0.9	0.88	0.87	0.87	0.87	0.95	0.94	0.9	0.9	0.8	0.85	0.84	0.79	0.9	0.83	0.92	0.89	0.91	0.87	0.87	0.89	0.89	0.87	0.9	0.94	0.93	0.93	0.84	0.93	0.94	0.94	0.93	0.94	0.79	0.89	0.92	0.87	0.88	0.9	0.97	0.89	0.91	0.91	0.8	0.79	0.9	0.8	0.94	0.94	0.92	0.87	0.91	0.95	0.94	0.94	0.94	0.9	0.93	0.91	0.94	0.94	0.94	0.88	0.95	0.93	0.89	0.93	0.86	0.91	0.84	0.91	0.8	0.09	0.07	0.08	0.08	0.08	0.04	0.07	0.07
GSE111062_SEEDLING_C_60PPFD_360MIN_7D	0.98	1	0.96	0.97	0.96	0.96	0.98	0.88	0.82	0.76	0.8	0.8	0.92	0.87	0.92	0.9	0.92	0.87	0.93	0.91	0.91	0.89	0.9	0.9	0.91	0.93	0.88	0.88	0.81	0.85	0.9	0.77	0.86	0.87	0.95	0.88	0.88	0.82	0.87	0.86	0.9	0.83	0.9	0.93	0.94	0.94	0.82	0.93	0.94	0.95	0.94	0.93	0.76	0.93	0.89	0.93	0.93	0.94	0.93	0.84	0.93	0.92	0.77	0.73	0.94	0.78	0.96	0.9	0.92	0.87	0.89	0.95	0.95	0.95	0.95	0.93	0.96	0.93	0.96	0.96	0.94	0.9	0.94	0.95	0.85	0.95	0.8	0.91	0.81	0.94	0.77	0.09	0.07	0.08	0.08	0.07	0.04	0.08	0.06
GSE111062_SEEDLING_C_60PPFD_720MIN_7D	0.97	0.96	1	0.98	0.98	0.97	0.96	0.94	0.91	0.83	0.87	0.87	0.85	0.78	0.85	0.84	0.85	0.78	0.86	0.84	0.81	0.81	0.8	0.81	0.89	0.88	0.85	0.86	0.8	0.87	0.83	0.84	0.86	0.79	0.88	0.86	0.87	0.8	0.83	0.83	0.86	0.8	0.87	0.87	0.87	0.87	0.79	0.87	0.87	0.87	0.86	0.95	0.79	0.84	0.91	0.84	0.86	0.9	0.96	0.91	0.86	0.91	0.85	0.81	0.89	0.85	0.9	0.91	0.85	0.81	0.88	0.93	0.93	0.91	0.9	0.87	0.89	0.87	0.9	0.9	0.9	0.85	0.93	0.91	0.91	0.89	0.85	0.86	0.84	0.86	0.83	0.09	0.08	0.08	0.08	0.08	0.05	0.07	0.06
GSE111062_SEEDLING_C_60PPFD_1440MIN_7D	0.99	0.97	0.98	1	0.99	0.99	0.98	0.94	0.9	0.85	0.87	0.88	0.87	0.8	0.88	0.87	0.87	0.79	0.88	0.86	0.83	0.83	0.82	0.83	0.93	0.91	0.89	0.89	0.81	0.86	0.81	0.83	0.89	0.8	0.89	0.88	0.9	0.85	0.85	0.87	0.88	0.85	0.88	0.9	0.9	0.9	0.82	0.9	0.9	0.9	0.89	0.93	0.79	0.85	0.92	0.83	0.85	0.88	0.98	0.92	0.88	0.91	0.83	0.82	0.87	0.83	0.92	0.94	0.88	0.84	0.9	0.93	0.93	0.91	0.91	0.86	0.9	0.88	0.91	0.91	0.91	0.85	0.93	0.9	0.91	0.9	0.88	0.89	0.86	0.87	0.82	0.09	0.08	0.08	0.08	0.08	0.05	0.07	0.06
GSE111062_SEEDLING_C_60PPFD_2880MIN_7D	0.99	0.96	0.98	0.99	1	1	0.98	0.93	0.89	0.84	0.87	0.89	0.88	0.8	0.9	0.88	0.88	0.79	0.89	0.87	0.85	0.85	0.83	0.85	0.95	0.93	0.91	0.91	0.82	0.87	0.81	0.82	0.9	0.81	0.89	0.87	0.89	0.87	0.87	0.9	0.88	0.88	0.89	0.92	0.92	0.92	0.84	0.92	0.92	0.92	0.91	0.93	0.81	0.86	0.94	0.84	0.86	0.88	0.98	0.92	0.88	0.9	0.83	0.82	0.88	0.84	0.92	0.95	0.91	0.86	0.92	0.94	0.94	0.92	0.92	0.87	0.91	0.89	0.92	0.92	0.93	0.86	0.95	0.91	0.92	0.9	0.89	0.9	0.88	0.87	0.81	0.09	0.07	0.08	0.08	0.08	0.05	0.07	0.07
GSE111062_SEEDLING_C_60PPFD_4320MIN_7D	0.99	0.96	0.97	0.99	1	1	0.98	0.92	0.87	0.82	0.85	0.88	0.9	0.82	0.91	0.89	0.89	0.81	0.91	0.88	0.86	0.87	0.85	0.86	0.95	0.94	0.91	0.91	0.82	0.87	0.82	0.81	0.9	0.81	0.89	0.86	0.88	0.88	0.87	0.91	0.89	0.89	0.9	0.93	0.93	0.93	0.85	0.93	0.93	0.93	0.92	0.93	0.81	0.87	0.94	0.85	0.87	0.89	0.98	0.91	0.89	0.9	0.82	0.81	0.88	0.83	0.93	0.95	0.92	0.88	0.93	0.95	0.94	0.93	0.92	0.88	0.92	0.9	0.93	0.92	0.93	0.87	0.95	0.92	0.92	0.91	0.89	0.91	0.88	0.87	0.8	0.09	0.07	0.08	0.08	0.08	0.04	0.07	0.06
GSE111062_SEEDLING_HL_1200PPFD_30MIN_7D	0.99	0.98	0.96	0.98	0.98	0.98	1	0.9	0.84	0.79	0.82	0.83	0.92	0.86	0.93	0.91	0.92	0.86	0.93	0.92	0.9	0.89	0.89	0.89	0.95	0.95	0.91	0.91	0.81	0.84	0.85	0.78	0.9	0.84	0.92	0.88	0.89	0.87	0.88	0.9	0.9	0.88	0.91	0.94	0.94	0.94	0.85	0.94	0.94	0.95	0.94	0.94	0.81	0.9	0.91	0.89	0.89	0.91	0.96	0.88	0.92	0.91	0.78	0.77	0.91	0.79	0.95	0.93	0.93	0.88	0.92	0.95	0.95	0.94	0.94	0.91	0.94	0.92	0.95	0.94	0.94	0.89	0.95	0.93	0.89	0.93	0.85	0.92	0.84	0.91	0.78	0.09	0.08	0.09	0.09	0.08	0.05	0.08	0.07
GSE111062_SEEDLING_HL_1200PPFD_360MIN_7D	0.9	0.88	0.94	0.94	0.93	0.92	0.9	1	0.98	0.93	0.94	0.94	0.75	0.64	0.76	0.75	0.73	0.63	0.76	0.73	0.69	0.71	0.67	0.69	0.84	0.81	0.82	0.84	0.8	0.87	0.69	0.92	0.83	0.67	0.76	0.79	0.83	0.78	0.78	0.79	0.8	0.77	0.81	0.79	0.78	0.79	0.75	0.78	0.78	0.78	0.77	0.84	0.78	0.72	0.92	0.7	0.74	0.8	0.92	0.96	0.75	0.86	0.87	0.85	0.78	0.92	0.81	0.91	0.77	0.74	0.86	0.83	0.83	0.8	0.78	0.72	0.77	0.76	0.79	0.78	0.82	0.74	0.87	0.8	0.92	0.76	0.88	0.79	0.87	0.74	0.84	0.09	0.08	0.08	0.09	0.08	0.05	0.06	0.06
GSE111062_SEEDLING_HL_1200PPFD_720MIN_7D	0.86	0.82	0.91	0.9	0.89	0.87	0.84	0.98	1	0.95	0.94	0.94	0.66	0.54	0.67	0.66	0.64	0.53	0.66	0.64	0.58	0.61	0.57	0.58	0.77	0.73	0.75	0.78	0.77	0.84	0.62	0.94	0.79	0.6	0.7	0.78	0.82	0.69	0.71	0.7	0.73	0.68	0.74	0.71	0.69	0.71	0.68	0.7	0.7	0.7	0.68	0.78	0.72	0.65	0.88	0.62	0.67	0.73	0.89	0.96	0.68	0.83	0.9	0.89	0.71	0.92	0.73	0.87	0.67	0.66	0.79	0.77	0.76	0.73	0.71	0.65	0.7	0.69	0.73	0.71	0.76	0.67	0.81	0.74	0.9	0.69	0.87	0.72	0.83	0.69	0.88	0.09	0.08	0.07	0.08	0.08	0.05	0.06	0.06
GSE111062_SEEDLING_HL_1200PPFD_1440MIN_7D	0.8	0.76	0.83	0.85	0.84	0.82	0.79	0.93	0.95	1	0.95	0.94	0.61	0.5	0.62	0.62	0.6	0.49	0.61	0.6	0.54	0.57	0.52	0.54	0.73	0.69	0.73	0.76	0.78	0.81	0.54	0.89	0.76	0.55	0.63	0.71	0.76	0.67	0.67	0.67	0.69	0.66	0.69	0.66	0.64	0.66	0.65	0.65	0.64	0.65	0.63	0.72	0.71	0.6	0.83	0.55	0.6	0.66	0.83	0.94	0.63	0.75	0.82	0.85	0.63	0.85	0.68	0.82	0.62	0.61	0.75	0.71	0.71	0.67	0.65	0.59	0.64	0.63	0.67	0.65	0.7	0.61	0.75	0.67	0.84	0.63	0.84	0.68	0.84	0.62	0.82	0.08	0.07	0.07	0.08	0.08	0.05	0.05	0.06
