GeneID	classification
AT4G27652	Short–Long Up
AT5G03210	Short–Long Up
AT1G21550	Short–Long Up
AT5G05410	Short–Long Up
AT3G23170	Short–Long Up
AT4G15210	Short–Long Up
AT1G27730	Short–Long Up
AT1G73325	Short–Long Up
AT4G18280	Short–Long Up
AT5G47060	Short–Long Up
AT1G66500	Short Up
AT5G14700	Short–Long Up
AT5G39790	Frequent
AT5G59820	Short Up
AT1G17380	Short–Long Up
AT1G17420	Short–Long Up
AT2G29450	Frequent
AT4G27657	Frequent
AT4G36010	Short–Long Up
AT5G24780	Short–Long Up
AT5G63130	Short–Long Up
AT1G04570	Short–Long Up
AT1G19180	Short–Long Up
AT1G19570	Frequent
AT3G14200	Short–Long Up
AT3G17611	Frequent
AT4G27560	Short–Long Up
AT5G04340	Short Up
AT5G24770	Frequent
AT5G67300	Short Up
AT1G01720	Short Up
AT1G32920	Short–Long Up
AT1G60190	Short Up
AT2G29500	Short Up–Down
AT3G17790	Frequent
AT3G44860	Short Up
AT4G18010	Short–Long Up
AT1G17830	Short–Long Up
AT1G56300	Short–Long Up
AT1G57590	Short–Long Up
AT1G61340	Short Up
AT1G61800	Short–Long Up
AT1G67360	Short–Long Up
AT2G46240	Short–Long Up
AT2G46600	Short Up
AT3G21890	Frequent
AT3G62260	Frequent
AT5G25450	Short Up
AT1G07400	Frequent
AT1G59860	Short Up–Down
AT1G70700	Short–Long Up
AT1G77450	Frequent
AT2G42540	Frequent
AT3G17130	Frequent
AT3G21150	Frequent
AT3G21560	Frequent
AT3G22840	Frequent
AT3G25780	Short–Long Up
AT3G51450	Short–Long Up
AT4G04020	Frequent
AT4G20860	Short Up
AT5G11260	Frequent
AT5G17050	Frequent
AT5G59220	Short–Long Up
AT5G66650	Short Up
AT1G06180	Frequent
AT1G54050	Short Up–Down
AT1G70810	Short–Long Up
AT1G72520	Short Up
AT2G06050	Short–Long Up
AT2G20560	Short Up–Down
AT2G26150	Short Up–Down
AT3G08970	Short Up–Down
AT3G16050	Frequent
AT4G11600	Short–Long Up
AT4G24380	Short Up
AT5G05600	Short–Long Up
AT5G09590	Frequent
AT5G16200	Short Up
AT5G19875	Frequent
AT5G24660	Frequent
AT5G48880	Short–Long Up
AT5G51440	Frequent
AT5G64510	Short Up–Down
AT1G14250	Frequent
AT1G15100	Frequent
AT1G51090	Short–Long Up
AT1G62730	Short–Long Up
AT1G80840	Short Up
AT2G16890	Short–Long Up
AT2G33380	Short Up–Down
AT2G38210	Frequent
AT2G46940	Frequent
AT2G47180	Short–Long Up
AT2G47890	Short–Long Up
AT3G12580	Short Up–Down
AT3G13470	Frequent
AT3G14720	Short–Long Up
AT3G17609	Frequent
AT3G24500	Frequent
AT3G25770	Frequent
AT3G52180	Short–Long Up
AT3G53230	Frequent
AT4G11660	Short Up–Down
AT4G15490	Short–Long Up
AT4G16146	Frequent
AT4G16590	Short–Long Up
AT4G17470	Short–Long Up
AT4G20830	Short Up
AT5G17000	Short–Long Up
AT5G20150	Frequent
AT5G20190	Short–Long Up
AT5G26340	Short Up
AT5G42050	Short Up
AT5G44005	Short–Long Up
AT5G45630	Short Up
AT5G52320	Frequent
AT5G52640	Short Up–Down
AT5G54930	Short–Long Up
AT5G65280	Short–Long Up
AT1G02930	Short–Long Up
AT1G19020	Short Up–Long Down
AT1G30070	Short Up–Down
AT1G56650	Short–Long Up
AT1G65980	Short–Long Up
AT1G72120	Short–Long Up
AT1G74310	Short Up–Down
AT1G76955	Frequent
AT2G04030	Frequent
AT2G17840	Short–Long Up
AT2G29090	Frequent
AT2G33585	Short Up
AT2G36800	Frequent
AT2G41010	Short–Long Up
AT2G46270	Short Up–Down
AT3G07090	Short Up
AT3G22370	Short–Long Up
AT3G23990	Frequent
AT3G48690	Short–Long Up
AT3G50930	Short Up
AT3G56260	Short–Long Up
AT4G01080	Short–Long Up
AT4G03960	Frequent
AT4G08870	Frequent
AT4G10040	Short–Long Up
AT4G12400	Short Up–Down
AT4G17230	Short Up
AT4G23600	Frequent
AT4G26780	Frequent
AT4G27070	Short–Long Up
AT4G34710	Short–Long Up
AT5G04840	Frequent
AT5G26220	Short–Long Up
AT5G27420	Short Up
AT5G35320	Short Up–Down
AT5G48570	Short Up–Down
AT5G53420	Short–Long Up
AT1G02390	Short Up
AT1G17870	Frequent
AT1G20510	Short–Long Up
AT1G22190	Short Up
AT1G24330	Short–Long Up
AT1G28610	Short–Long Up
AT1G63840	Short Up
AT1G64200	Frequent
AT1G66080	Short Up
AT1G67070	Frequent
AT1G67970	Short–Long Up
AT1G75270	Short–Long Up
AT1G75580	Frequent
AT1G76570	Frequent
AT2G29670	Short–Long Up
AT2G30250	Short Up–Long Down
AT2G38750	Frequent
AT2G46420	Short Up
AT3G08590	Short–Long Up
AT3G08720	Short Up
AT3G14620	Short Up
AT3G29575	Short–Long Up
AT3G45140	Short–Long Up
AT3G48240	Frequent
AT4G09750	Short–Long Up
AT4G26150	Frequent
AT4G34590	Short–Long Up
AT5G01600	Short–Long Up
