Gene1	Gene2	Correlation	source
AT3G02150	AT3G55640	0.473619778936714	GENIE&WGCNA
AT5G53290	AT3G55640	0.46844173628432	GENIE&WGCNA
AT3G02150	AT5G05600	0.468383265756014	GENIE&WGCNA
AT5G53290	AT1G17380	0.4650147279666	GENIE&WGCNA
AT3G02150	AT1G17380	0.464607786769404	GENIE&WGCNA
AT3G02150	AT1G17420	0.463394193878885	GENIE&WGCNA
AT3G02150	AT1G51780	0.462330544696363	GENIE&WGCNA
AT3G02150	AT2G42760	0.461826898712756	GENIE&WGCNA
AT5G53290	AT5G05600	0.46072535451668	GENIE&WGCNA
AT5G53290	AT2G36590	0.443119847384955	GENIE&WGCNA
AT3G02150	AT4G35060	0.438996214348342	GENIE&WGCNA
AT3G02150	AT3G25760	0.438899456944726	GENIE&WGCNA
AT5G53290	AT4G35060	0.433977699546693	GENIE&WGCNA
AT3G02150	AT2G30720	0.433312090957446	GENIE&WGCNA
AT3G02150	AT3G12145	0.433126517993953	GENIE&WGCNA
AT5G53290	AT2G30720	0.432131972094471	GENIE&WGCNA
AT5G53290	AT2G29450	0.422163584733484	GENIE&WGCNA
AT3G02150	AT5G53750	0.418119185842914	GENIE&WGCNA
AT3G02150	AT2G29450	0.417066675120287	GENIE&WGCNA
AT3G02150	AT3G51450	0.416280974344646	GENIE&WGCNA
AT4G27410	AT2G42760	0.409337571842233	GENIE&WGCNA
AT3G02150	AT4G35630	0.40533989439335	GENIE&WGCNA
AT5G53290	AT3G02150	0.403747941984333	GENIE&WGCNA
AT3G02150	AT3G25780	0.403379896379037	GENIE&WGCNA
AT4G27410	AT1G17380	0.401851602579228	GENIE&WGCNA
AT3G02150	AT2G34810	0.400034009287737	GENIE&WGCNA
AT5G53290	AT5G53750	0.398491878648411	GENIE&WGCNA
AT5G53290	AT2G34810	0.395337135702616	GENIE&WGCNA
AT3G02150	AT4G34710	0.388132923298329	GENIE&WGCNA
AT5G53290	AT4G24830	0.386074746096558	GENIE&WGCNA
AT5G53290	AT4G35630	0.384798611422789	GENIE&WGCNA
AT3G02150	AT2G39020	0.384481873166215	GENIE&WGCNA
AT5G53290	AT4G34710	0.383976041712171	GENIE&WGCNA
AT5G53290	AT2G39020	0.383685373339383	GENIE&WGCNA
AT3G02150	AT3G60690	0.381618045563789	GENIE&WGCNA
AT3G02150	AT4G18140	0.381110713023621	GENIE&WGCNA
AT5G53290	AT3G25780	0.379013176686106	GENIE&WGCNA
AT3G02150	AT1G19180	0.374697800049706	GENIE&WGCNA
AT3G02150	AT3G17810	0.362586155227676	GENIE&WGCNA
AT4G27410	AT3G02150	0.359735158625997	GENIE&WGCNA
AT1G71260	AT2G33210	0.351904528441005	GENIE&WGCNA
AT1G71260	AT3G48500	0.349785057757254	GENIE&WGCNA
AT3G02150	AT1G53560	0.34951732457018	GENIE&WGCNA
AT5G53290	AT3G60690	0.349408857503227	GENIE&WGCNA
AT2G28450	AT1G69070	0.348995875663207	GENIE&WGCNA
AT5G63420	AT1G69200	0.3478251506886	GENIE&WGCNA
AT2G28450	AT5G54910	0.347487703024661	GENIE&WGCNA
AT4G27410	AT3G60690	0.346737454275862	GENIE&WGCNA
AT5G63420	AT3G10690	0.345648793379196	GENIE&WGCNA
AT2G28450	AT1G77550	0.345459221682626	GENIE&WGCNA
AT4G12750	AT4G40000	0.345362218183511	GENIE&WGCNA
AT3G02150	AT1G69760	0.345164350351996	GENIE&WGCNA
AT3G02150	AT1G75580	0.344853441395027	GENIE&WGCNA
AT5G49330	AT5G62210	0.344558730721167	GENIE&WGCNA
AT4G12750	AT4G27340	0.342682249109023	GENIE&WGCNA
AT2G28450	AT2G34357	0.34229624491837	GENIE&WGCNA
AT4G12750	AT5G45140	0.342106205150608	GENIE&WGCNA
AT1G71260	AT5G18820	0.341778715814569	GENIE&WGCNA
AT1G71260	AT3G14900	0.338353076326353	GENIE&WGCNA
AT3G02150	AT4G15260	0.337514338922808	GENIE&WGCNA
AT3G02150	AT5G67480	0.337234899528018	GENIE&WGCNA
AT4G12750	AT4G26600	0.3371713178213	GENIE&WGCNA
AT3G02150	AT1G19670	0.334545311067181	GENIE&WGCNA
AT2G28450	AT1G77030	0.33363299652845	GENIE&WGCNA
