Gene1	Gene2	Correlation	source
AT1G01250	AT4G02290	0.660341087050922	GENIE&WGCNA
AT5G60690	AT5G10770	0.649114284845158	GENIE&WGCNA
AT1G01250	AT1G32100	0.643223274026432	GENIE&WGCNA
AT2G46590	AT2G36570	0.642216372468149	GENIE&WGCNA
AT1G62990	AT1G62480	0.641978533346385	GENIE&WGCNA
AT5G60690	AT5G48460	0.636671382946221	GENIE&WGCNA
AT4G37650	AT5G22940	0.629953488078109	GENIE&WGCNA
AT1G62990	AT1G66960	0.627703246714768	GENIE&WGCNA
AT5G60690	AT3G01670	0.6266957209653	GENIE&WGCNA
AT1G69580	AT1G70710	0.6232937252944	GENIE&WGCNA
AT4G37650	AT2G14890	0.623270829819198	GENIE&WGCNA
AT1G62990	AT5G10770	0.622354759327931	GENIE&WGCNA
AT3G61950	AT3G62020	0.621954070474505	GENIE&WGCNA
AT2G46590	AT5G66170	0.621192587235644	GENIE&WGCNA
AT4G37650	AT5G16720	0.621023341826076	GENIE&WGCNA
AT1G52150	AT4G10840	0.619279983560917	GENIE&WGCNA
AT4G37650	AT3G21190	0.614912215296261	GENIE&WGCNA
AT5G05790	AT5G03150	0.614310013567208	GENIE&WGCNA
AT2G46590	AT2G16890	0.613548581630663	GENIE&WGCNA
AT1G62990	AT2G17710	0.611880065850332	GENIE&WGCNA
AT5G60690	AT5G48500	0.60912680801219	GENIE&WGCNA
AT1G69780	AT3G14560	0.609124313195976	GENIE&WGCNA
AT5G05790	AT5G17420	0.606006059824609	GENIE&WGCNA
AT2G46590	AT1G02335	0.604796767143334	GENIE&WGCNA
AT4G37650	AT3G20570	0.604207922180433	GENIE&WGCNA
AT1G69580	AT4G00230	0.603412436880967	GENIE&WGCNA
AT1G69580	AT3G59330	0.60138423297194	GENIE&WGCNA
AT2G46590	AT1G61260	0.597293505256771	GENIE&WGCNA
AT5G03150	AT4G01440	0.59360182951406	GENIE&WGCNA
AT5G60690	AT1G80280	0.58679587096212	GENIE&WGCNA
AT1G69780	AT3G12610	0.585844717197299	GENIE&WGCNA
AT5G16600	AT5G60020	0.585528712772095	GENIE&WGCNA
AT1G68130	AT1G23460	0.58550199073862	GENIE&WGCNA
AT5G05790	AT3G61950	0.585391187559862	GENIE&WGCNA
AT1G69580	AT3G61490	0.585299290381435	GENIE&WGCNA
AT4G09460	AT1G79620	0.584655375433121	GENIE&WGCNA
AT5G03150	AT4G32710	0.584532015981932	GENIE&WGCNA
AT1G27370	AT5G60690	0.581567925199335	GENIE&WGCNA
AT5G60690	AT5G20510	0.579882591278358	GENIE&WGCNA
AT1G68130	AT1G20850	0.578726119572271	GENIE&WGCNA
AT1G68130	AT2G40480	0.578561986895193	GENIE&WGCNA
AT4G37650	AT1G27370	0.575755310891367	GENIE&WGCNA
AT3G61950	AT4G16120	0.574072040838109	GENIE&WGCNA
AT1G27370	AT5G03260	0.573955224237472	GENIE&WGCNA
AT1G27370	AT5G60020	0.570750753205786	GENIE&WGCNA
AT1G62990	AT4G13710	0.56995151894388	GENIE&WGCNA
AT4G09460	AT2G14890	0.569267651106667	GENIE&WGCNA
AT1G69580	AT5G24570	0.568916555790635	GENIE&WGCNA
AT5G60690	AT4G29100	0.568821481099874	GENIE&WGCNA
AT1G30330	AT5G66920	0.568668261739542	GENIE&WGCNA
AT4G09460	AT1G28400	0.567817415285504	GENIE&WGCNA
AT3G06590	AT5G39320	0.567209521132551	GENIE&WGCNA
AT1G62990	AT2G24630	0.566696846775338	GENIE&WGCNA
AT1G69780	AT1G69910	0.564612479254828	GENIE&WGCNA
AT1G52150	AT2G42200	0.563697901163551	GENIE&WGCNA
AT4G01120	AT1G79620	0.563610735139979	GENIE&WGCNA
AT3G61950	AT1G64390	0.563000206214496	GENIE&WGCNA
