Gene1	Gene2	Correlation	Gene1_class	Gene2_class	Gene1_direction	Gene2_direction	Gene1_total	Gene2_total	Gene1_TF	Gene2_TF	Gene1_photoreceptor	Gene2_photoreceptor	Gene1_known	Gene2_known	interaction_type	same_class	same_direction	source	Gene1_label	Gene2_label	Gene1_tf_family	Gene2_tf_family	cluster
AT3G02150	AT3G55640	0.47361977893671414	Long Down	Short–Long Up	Down	Up	7	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Long Down	Short–Long Up	TCP	NA	1
AT5G53290	AT3G55640	0.4684417362843202	Long Up	Short–Long Up	Up	Up	9	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Long Up	Short–Long Up	ERF	NA	1
AT3G02150	AT5G05600	0.4683832657560139	Long Down	Short–Long Up	Down	Up	7	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Long Down	Short–Long Up	TCP	NA	1
AT5G53290	AT1G17380	0.4650147279665999	Long Up	Short–Long Up	Up	Up	9	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Long Up	Short–Long Up	ERF	NA	1
AT3G02150	AT1G17380	0.4646077867694043	Long Down	Short–Long Up	Down	Up	7	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Long Down	Short–Long Up	TCP	NA	1
AT3G02150	AT1G17420	0.46339419387888486	Long Down	Short–Long Up	Down	Up	7	6	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Long Down	Short–Long Up	TCP	NA	1
AT3G02150	AT1G51780	0.4623305446963628	Long Down	Long Up	Down	Up	7	5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Long Down	Long Up	TCP	NA	1
AT3G02150	AT2G42760	0.46182689871275606	Long Down	Short Up–Long Down	Down	Down	7	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Long Down	Short Up–Long Down	TCP	NA	1
AT5G53290	AT5G05600	0.4607253545166795	Long Up	Short–Long Up	Up	Up	9	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Long Up	Short–Long Up	ERF	NA	1
AT5G53290	AT2G36590	0.44311984738495547	Long Up	Frequent	Up	Up	9	6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Long Up	Frequent	ERF	NA	1
