Gene1	Gene2	Correlation	Gene1_class	Gene2_class	Gene1_direction	Gene2_direction	Gene1_total	Gene2_total	Gene1_TF	Gene2_TF	Gene1_photoreceptor	Gene2_photoreceptor	Gene1_known	Gene2_known	interaction_type	same_class	same_direction	source	Gene1_label	Gene2_label	Gene1_tf_family	Gene2_tf_family
AT1G01250	AT4G02290	0.6603410870509221	Short Down–Long Up	Short Down	Down	Down	7	5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down–Long Up	Short Down	ERF	NA
AT5G60690	AT5G10770	0.6491142848451581	Short Down	Short–Long Down	Down	Down	3	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down	Short–Long Down	HD-ZIP	NA
AT1G01250	AT1G32100	0.6432232740264316	Short Down–Long Up	Short Down	Down	Down	7	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down–Long Up	Short Down	ERF	NA
AT2G46590	AT2G36570	0.6422163724681486	Short Up	Short Down	Up	Down	5	8	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up	Short Down	Dof	NA
AT1G62990	AT1G62480	0.6419785333463848	Short Down	Short–Long Down	Down	Down	4	8	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down	Short–Long Down	TALE	NA
AT5G60690	AT5G48460	0.6366713829462206	Short Down	Short–Long Down	Down	Down	3	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down	Short–Long Down	HD-ZIP	NA
AT4G37650	AT5G22940	0.6299534880781095	Short Down	Short–Long Down	Down	Down	8	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down	Short–Long Down	GRAS	NA
AT1G62990	AT1G66960	0.6277032467147677	Short Down	Short Up	Down	Up	4	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Down	Short Up	TALE	NA
AT5G60690	AT3G01670	0.6266957209652999	Short Down	Short Down	Down	Down	3	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	HD-ZIP	NA
AT1G69580	AT1G70710	0.6232937252944002	Short Down	Short Down	Down	Down	6	9	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	G2-like	NA
