ID	Description	gene_count	total_in_cluster	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	cluster	percent_genes
GO:0009753	response to jasmonic acid	8	33	223/21384	0.03587443946188341	23.246636771300448	13.128976759668676	1.3684913420581383e-9	1.708458084425201e-7	1.0442188631461332e-7	JAO2/JAZ5/ATLOX3/NA/AtBBE16/ADC2/AtJAZ1/ATBT4	8	1	24.242424242424242
GO:0070542	response to fatty acid	8	33	227/21384	0.03524229074889868	22.837004405286343	13.003525837172825	1.57461574601401e-9	1.708458084425201e-7	1.0442188631461332e-7	JAO2/JAZ5/ATLOX3/NA/AtBBE16/ADC2/AtJAZ1/ATBT4	8	1	24.242424242424242
GO:0009611	response to wounding	8	33	271/21384	0.02952029520295203	19.129151291512915	11.80780908119151	6.332655510961704e-9	4.580620819595632e-7	2.799700331162017e-7	JAZ5/ATLOX3/NA/NA/AtBBE16/ADC2/AtJAZ1/ATBT4	8	1	24.242424242424242
GO:0080134	regulation of response to stress	7	33	486/21384	0.01440329218106996	9.333333333333334	7.305781912759292	7.678248211467496e-6	4.165449654721117e-4	2.5459454595918544e-4	A-PTF-1/JAO2/JAZ5/ILL5/AtJAZ1/AtPAM16/ATGSTU17	7	1	21.21212121212121
GO:0031347	regulation of defense response	6	33	336/21384	0.017857142857142856	11.571428571428571	7.6785652393558905	1.1142905731879989e-5	4.8360210876359147e-4	2.95580236256185e-4	A-PTF-1/JAO2/JAZ5/ILL5/AtJAZ1/AtPAM16	6	1	18.181818181818183
GO:0009695	jasmonic acid biosynthetic process	3	33	34/21384	0.08823529411764706	57.1764705882353	12.887751298460914	1.9392916629140937e-5	7.013771514205972e-4	4.2868552548627347e-4	ATLOX3/AOC1/AOC3	3	1	9.090909090909092
GO:0042759	long-chain fatty acid biosynthetic process	3	33	41/21384	0.07317073170731707	47.414634146341456	11.695029062467063	3.42934771006823e-5	0.0010007123662695665	6.11640835071382e-4	ATLOX3/AOC1/AOC3	3	1	9.090909090909092
GO:2000022	regulation of jasmonic acid mediated signaling pathway	3	33	42/21384	0.07142857142857142	46.285714285714285	11.549162372999735	3.689262179795637e-5	0.0010007123662695665	6.11640835071382e-4	JAO2/JAZ5/AtJAZ1	3	1	9.090909090909092
GO:0009694	jasmonic acid metabolic process	3	33	56/21384	0.05357142857142857	34.71428571428571	9.93150551419002	8.778067105626057e-5	0.0021164895132453937	0.001293609889250156	ATLOX3/AOC1/AOC3	3	1	9.090909090909092
GO:0001676	long-chain fatty acid metabolic process	3	33	67/21384	0.04477611940298507	29.014925373134325	9.029132086148035	1.4995688522660095e-4	0.0032540644094172406	0.0019889018461633394	ATLOX3/AOC1/AOC3	3	1	9.090909090909092
