ID	Description	gene_count	total_in_cluster	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	cluster	percent_genes
GO:0009956	radial pattern formation	2	31	26/21384	0.07692307692307693	53.06203473945409	10.120762542686151	6.46827620398586e-4	0.0463313120603434	0.032668767003012224	AVB1/EAL1	2	1	6.451612903225806
GO:0032350	regulation of hormone metabolic process	2	31	29/21384	0.06896551724137931	47.572858731924356	9.562420169177235	8.058513908073314e-4	0.0463313120603434	0.032668767003012224	EAL1/SPL10	2	1	6.451612903225806
GO:0010087	phloem or xylem histogenesis	3	31	133/21384	0.022556390977443608	15.559544021343681	6.417555357654473	9.307768414311503e-4	0.0463313120603434	0.032668767003012224	AVB1/IRX11/AtSEOR2	3	1	9.67741935483871
GO:2000652	regulation of secondary cell wall biogenesis	2	31	34/21384	0.058823529411764705	40.576850094876654	8.799691757979922	0.0011084904601641095	0.0463313120603434	0.032668767003012224	IRX11/VRLK1	2	1	6.451612903225806
GO:1903338	regulation of cell wall organization or biogenesis	2	31	41/21384	0.04878048780487805	33.64909520062943	7.972987097329794	0.0016100542153256196	0.0463313120603434	0.032668767003012224	IRX11/VRLK1	2	1	6.451612903225806
GO:0071555	cell wall organization	4	31	360/21384	0.011111111111111112	7.6645161290322585	4.859011362750623	0.0017354025478927646	0.0463313120603434	0.032668767003012224	AtMSR1/ATCSLC08/ATEXLA2/AtPME17	4	1	12.903225806451612
GO:0071669	plant-type cell wall organization or biogenesis	4	31	379/21384	0.010554089709762533	7.280279172695548	4.700271303109225	0.0020930980710570255	0.0463313120603434	0.032668767003012224	IRX11/AtMSR1/VRLK1/ATEXLA2	4	1	12.903225806451612
GO:0045488	pectin metabolic process	3	31	179/21384	0.01675977653631285	11.56100198233916	5.406276033153875	0.002181994075054381	0.0463313120603434	0.032668767003012224	AtMSR1/NA/AtPME17	3	1	9.67741935483871
GO:0010089	xylem development	2	31	48/21384	0.041666666666666664	28.741935483870968	7.331394504021472	0.0022008722126835964	0.0463313120603434	0.032668767003012224	AVB1/IRX11	2	1	6.451612903225806
GO:0010393	galacturonan metabolic process	3	31	180/21384	0.016666666666666666	11.496774193548386	5.388512869206822	0.002216809189490115	0.0463313120603434	0.032668767003012224	AtMSR1/NA/AtPME17	3	1	9.67741935483871
GO:0042547	cell wall modification involved in multidimensional cell growth	2	7	11/21384	0.18181818181818182	555.4285714285714	33.28274685334957	5.044811880161282e-6	1.0089623760322565e-4	3.186196976943968e-5	ATGH9B1/PG2	2	2	28.57142857142857
GO:0009825	multidimensional cell growth	2	7	43/21384	0.046511627906976744	142.08637873754154	16.757988607035802	8.241428810883207e-5	8.241428810883207e-4	2.602556466594697e-4	ATGH9B1/PG2	2	2	28.57142857142857
GO:0042545	cell wall modification	2	7	230/21384	0.008695652173913044	26.563975155279504	7.053521819979558	0.0023343187644679656	0.015562125096453105	0.00491435529361677	ATGH9B1/PG2	2	2	28.57142857142857
GO:0071555	cell wall organization	2	7	360/21384	0.005555555555555556	16.97142857142857	5.530282279402679	0.0056124430279227665	0.020390455734772828	0.006439091284665103	ATGH9B1/PG2	2	2	28.57142857142857
GO:0016074	sno(s)RNA metabolic process	1	7	19/21384	0.05263157894736842	160.78195488721803	12.608488933328989	0.006203917435566586	0.020390455734772828	0.006439091284665103	PRORP2	1	2	14.285714285714285
GO:0043144	sno(s)RNA processing	1	7	19/21384	0.05263157894736842	160.78195488721803	12.608488933328989	0.006203917435566586	0.020390455734772828	0.006439091284665103	PRORP2	1	2	14.285714285714285
GO:0045229	external encapsulating structure organization	2	7	423/21384	0.004728132387706856	14.443768996960486	5.05353392459324	0.007675676931300578	0.020390455734772828	0.006439091284665103	ATGH9B1/PG2	2	2	28.57142857142857
GO:0000966	RNA 5'-end processing	1	7	25/21384	0.04	122.19428571428571	10.971642528671444	0.008156182293909131	0.020390455734772828	0.006439091284665103	PRORP2	1	2	14.285714285714285
GO:0010091	trichome branching	1	7	31/21384	0.03225806451612903	98.54377880184332	9.834695823497839	0.010105158974234474	0.022455908831632166	0.007091339631041735	IQD19	1	2	14.285714285714285
GO:0010090	trichome morphogenesis	1	7	72/21384	0.013888888888888888	42.42857142857143	6.371828259698624	0.02333552506521397	0.04667105013042794	0.014738226356977243	IQD19	1	2	14.285714285714285
