Gene1	Gene2	Correlation
AT1G48460	AT4G26600	0.6007652197001782
AT1G72040	AT3G17830	0.6004467407940078
AT1G72040	AT3G12340	0.6015617691336169
AT1G03360	AT1G72040	0.6045634942936476
AT1G09190	AT1G72040	0.6005024543702807
AT1G32580	AT1G72040	0.6009257382655054
AT1G53200	AT1G72040	0.6041911125611393
AT1G72040	AT4G00026	0.6014626005825034
AT1G72040	AT4G21140	0.6010263086168908
AT1G48460	AT4G28450	0.6000867836443174
AT1G72040	AT4G04790	0.6008248547274768
AT1G72040	AT5G17270	0.6031493030955092
AT1G23280	AT1G48460	0.6017537141099822
AT1G72040	AT2G15000	0.6016491259329501
AT1G72040	AT2G40700	0.6007717025233176
AT1G48460	AT4G30840	0.6003205321546932
AT3G56680	AT5G06360	0.6007763937792583
AT1G72040	AT3G17465	0.6001088440003295
AT1G72040	AT5G04600	0.6048011957519476
AT1G72040	AT5G26110	0.6047306143716327
AT1G14300	AT3G56680	0.6001190351647837
