Gene1	Gene2	Correlation	source
AT4G12750	AT3G48830	0.594123671800168	GENIE&WGCNA
AT2G46830	AT5G62370	0.584707027139324	GENIE&WGCNA
AT4G12750	AT1G68990	0.583700248023351	GENIE&WGCNA
AT4G12750	AT5G26180	0.583545654929297	GENIE&WGCNA
AT1G71260	AT5G41970	0.582852607002547	GENIE&WGCNA
AT2G46830	AT4G15850	0.582759449417261	GENIE&WGCNA
AT5G58620	AT4G01870	0.582431087521723	GENIE&WGCNA
AT2G02740	AT5G41970	0.581990563232147	GENIE&WGCNA
AT1G29280	AT2G21045	0.581355264086005	GENIE&WGCNA
AT4G12750	AT4G16146	0.580744953320837	GENIE&WGCNA
AT4G12750	AT3G19440	0.580480553578249	GENIE&WGCNA
AT3G44750	AT5G38720	0.579880111618474	GENIE&WGCNA
AT3G44750	AT1G31970	0.57917013104277	GENIE&WGCNA
AT1G29280	AT4G19690	0.578569633597094	GENIE&WGCNA
AT4G22070	AT5G39050	0.577949808992825	GENIE&WGCNA
AT2G02740	AT1G06190	0.577943008624446	GENIE&WGCNA
AT2G02740	AT3G14900	0.577493102238632	GENIE&WGCNA
AT1G29280	AT1G78380	0.577288885421694	GENIE&WGCNA
AT3G44750	AT5G57280	0.577230856518261	GENIE&WGCNA
AT4G12750	AT5G08310	0.57719473011116	GENIE&WGCNA
AT1G29280	AT5G65390	0.576812322013057	GENIE&WGCNA
AT3G50750	AT2G42690	0.576634051424725	GENIE&WGCNA
AT1G71260	AT1G06190	0.576528307336097	GENIE&WGCNA
AT3G44750	AT3G15080	0.576492414457215	GENIE&WGCNA
AT4G12750	AT5G61770	0.576435464491099	GENIE&WGCNA
AT3G44750	AT5G20160	0.576168304203542	GENIE&WGCNA
AT3G15510	AT1G74210	0.575252739059716	GENIE&WGCNA
AT3G44750	AT5G48240	0.574291266036754	GENIE&WGCNA
AT2G02740	AT1G69200	0.574150320852118	GENIE&WGCNA
AT2G02740	AT2G04530	0.574014381681309	GENIE&WGCNA
AT3G44750	AT3G56070	0.573737242288713	GENIE&WGCNA
AT3G50750	AT1G34360	0.573705468648256	GENIE&WGCNA
AT3G15510	AT1G04350	0.573163441396856	GENIE&WGCNA
AT2G31380	AT4G12750	0.573035910348079	GENIE&WGCNA
AT1G71260	AT3G14900	0.572931303603125	GENIE&WGCNA
AT3G02380	AT3G24460	0.572572507703233	GENIE&WGCNA
AT3G50750	AT3G11110	0.572435599659639	GENIE&WGCNA
AT5G59780	AT2G40600	0.572020609499256	GENIE&WGCNA
AT2G31380	AT3G24460	0.571562781156219	GENIE&WGCNA
AT3G44750	AT2G27840	0.571537526774846	GENIE&WGCNA
AT4G12750	AT5G08610	0.571523266444903	GENIE&WGCNA
AT2G46830	AT3G24460	0.571481686792987	GENIE&WGCNA
AT5G59780	AT3G10690	0.571416253899477	GENIE&WGCNA
AT3G44750	AT2G37270	0.570956322258193	GENIE&WGCNA
AT3G50750	AT4G16990	0.570854002352937	GENIE&WGCNA
AT2G02740	AT1G70580	0.570825763673824	GENIE&WGCNA
AT3G15510	AT4G15850	0.570448026616166	GENIE&WGCNA
AT3G50750	AT4G19170	0.570441065813193	GENIE&WGCNA
AT1G70000	AT5G19875	0.569972018021744	GENIE&WGCNA
AT5G59780	AT3G11110	0.569719243107454	GENIE&WGCNA
AT3G44750	AT1G18800	0.569594001469036	GENIE&WGCNA
AT2G02740	AT2G38640	0.569576816964548	GENIE&WGCNA
AT3G50750	AT1G45332	0.569046555267752	GENIE&WGCNA
AT1G29280	AT5G43350	0.568985408375109	GENIE&WGCNA
AT4G12750	AT5G59920	0.56851279613376	GENIE&WGCNA
AT4G22070	AT1G01580	0.568258192324672	GENIE&WGCNA
AT1G29280	AT1G23720	0.567967236368991	GENIE&WGCNA
AT1G71260	AT1G13270	0.567788247086728	GENIE&WGCNA
AT4G12750	AT2G43650	0.567765655503455	GENIE&WGCNA
AT1G19000	AT5G39840	0.567697920341456	GENIE&WGCNA
AT5G59780	AT3G50750	0.567654720016089	GENIE&WGCNA
AT2G31380	AT5G08310	0.567318441509179	GENIE&WGCNA
AT2G02740	AT1G74300	0.567186147928949	GENIE&WGCNA
AT1G29280	AT5G17820	0.567179932439934	GENIE&WGCNA
AT2G46830	AT4G27440	0.567174903219958	GENIE&WGCNA
AT3G44750	AT2G45710	0.566970827914914	GENIE&WGCNA
AT3G15510	AT3G56990	0.566713430154622	GENIE&WGCNA
AT4G12750	AT4G27440	0.566657953405476	GENIE&WGCNA
AT4G12750	AT1G63780	0.566401856414937	GENIE&WGCNA
AT2G45660	AT3G05650	0.565935110764803	GENIE&WGCNA
AT2G31380	AT4G16146	0.565512094180006	GENIE&WGCNA
AT2G31380	AT4G27440	0.565458373485409	GENIE&WGCNA
AT3G44750	AT5G40490	0.565447374307193	GENIE&WGCNA
AT1G71260	AT1G79560	0.565230127095415	GENIE&WGCNA
AT4G22070	AT1G48850	0.565211764406828	GENIE&WGCNA
AT2G02740	AT4G17695	0.564649283121452	GENIE&WGCNA
AT3G54390	AT4G20010	0.564548107407793	GENIE&WGCNA
AT2G31380	AT4G04670	0.564380553125719	GENIE&WGCNA
AT1G70000	AT2G15090	0.564379985298901	GENIE&WGCNA
AT3G15510	AT3G60180	0.563961830298966	GENIE&WGCNA
AT1G71260	AT3G18950	0.563866352770278	GENIE&WGCNA
AT1G01010	AT4G17245	0.563374423254047	GENIE&WGCNA
AT2G02740	AT5G08280	0.563283548622893	GENIE&WGCNA
AT1G29280	AT4G35290	0.563229328041763	GENIE&WGCNA
AT3G50750	AT1G68660	0.562878757760295	GENIE&WGCNA
AT3G44750	AT5G22650	0.562857713628655	GENIE&WGCNA
AT3G02380	AT4G20020	0.562823001932409	GENIE&WGCNA
AT3G44750	AT5G46180	0.562743866499934	GENIE&WGCNA
AT3G44750	AT1G23100	0.562632681951906	GENIE&WGCNA
AT1G29280	AT5G05500	0.562623084787782	GENIE&WGCNA
AT3G44750	AT3G15460	0.562543827065958	GENIE&WGCNA
AT2G46830	AT2G15890	0.56251275226073	GENIE&WGCNA
AT1G71260	AT2G38640	0.562450952328381	GENIE&WGCNA
AT2G40620	AT1G30820	0.562196286484149	GENIE&WGCNA
AT5G06510	AT5G64550	0.562128725003224	GENIE&WGCNA
AT2G02740	AT1G19660	0.562090848302368	GENIE&WGCNA
AT5G58620	AT5G06760	0.561553097488462	GENIE&WGCNA
AT3G50750	AT1G30820	0.561347548404785	GENIE&WGCNA
AT1G62300	AT1G79270	0.560763173626981	GENIE&WGCNA
AT3G16770	AT2G42690	0.560691412065148	GENIE&WGCNA
AT4G12750	AT5G57630	0.56065723821714	GENIE&WGCNA
AT3G50750	AT3G61210	0.560611724269219	GENIE&WGCNA
AT3G44750	AT5G61770	0.560463170073647	GENIE&WGCNA
AT1G71260	AT5G62990	0.560326547231782	GENIE&WGCNA
AT2G31380	AT1G71695	0.560290805373601	GENIE&WGCNA
AT2G02740	AT1G79560	0.560156394129034	GENIE&WGCNA
AT2G02740	AT5G45275	0.560097574481699	GENIE&WGCNA
AT3G02380	AT5G02860	0.559870823403957	GENIE&WGCNA
AT4G22070	AT1G79270	0.559754270854883	GENIE&WGCNA
AT4G12750	AT1G20030	0.55973807896779	GENIE&WGCNA
AT1G71260	AT4G28590	0.55924970890171	GENIE&WGCNA
AT3G15510	AT4G28270	0.559205630399972	GENIE&WGCNA
AT3G44750	AT5G08180	0.559164303916876	GENIE&WGCNA
AT3G44750	AT5G52470	0.558922138545346	GENIE&WGCNA
AT3G50750	AT3G26070	0.558860374492199	GENIE&WGCNA
AT2G31380	AT4G20020	0.558305576785224	GENIE&WGCNA
AT2G02740	AT5G62990	0.557987008390245	GENIE&WGCNA
AT1G19000	AT5G64420	0.557942163526941	GENIE&WGCNA
AT3G02380	AT4G04670	0.557894634715369	GENIE&WGCNA
AT5G58620	AT4G17245	0.557807712222448	GENIE&WGCNA
AT1G71260	AT1G71460	0.557807339068748	GENIE&WGCNA
AT2G40620	AT3G59310	0.557796522929573	GENIE&WGCNA
AT1G01060	AT4G12750	0.557378163477528	GENIE&WGCNA
AT1G70000	AT1G19000	0.557364747434142	GENIE&WGCNA
AT1G19000	AT4G02930	0.55711515619287	GENIE&WGCNA
AT3G44750	AT3G03890	0.556877103783113	GENIE&WGCNA
AT1G71260	AT2G44640	0.55682195378125	GENIE&WGCNA
AT5G59780	AT1G70810	0.556769601084098	GENIE&WGCNA
AT1G19000	AT3G03060	0.556550631401869	GENIE&WGCNA
AT3G02380	AT5G14520	0.556431069099171	GENIE&WGCNA
AT2G02740	AT2G32090	0.556400604668228	GENIE&WGCNA
AT4G22070	AT1G72140	0.556181355050989	GENIE&WGCNA
AT4G22070	AT3G54580	0.55612739023611	GENIE&WGCNA
AT5G39860	AT4G32800	0.555797418209759	GENIE&WGCNA
AT3G44750	AT3G23620	0.555586635384589	GENIE&WGCNA
AT3G02380	AT1G60850	0.555555930477434	GENIE&WGCNA
AT2G31380	AT2G43650	0.555522658421901	GENIE&WGCNA
AT2G22540	AT3G48720	0.555494317439216	GENIE&WGCNA
AT4G22070	AT5G44110	0.555489391132314	GENIE&WGCNA
AT5G57660	AT1G73870	0.55539925847376	GENIE&WGCNA
AT3G44750	AT5G54910	0.555226085662809	GENIE&WGCNA
AT3G50750	AT1G16110	0.555205974266964	GENIE&WGCNA
AT1G19000	AT1G75380	0.555133668732778	GENIE&WGCNA
AT3G02380	AT4G27440	0.555116617770344	GENIE&WGCNA
AT2G02740	AT4G28590	0.555101103094206	GENIE&WGCNA
AT3G46640	AT4G28450	0.554885747293434	GENIE&WGCNA
AT5G58620	AT4G19690	0.554820048034246	GENIE&WGCNA
AT3G02380	AT2G37690	0.554720006384942	GENIE&WGCNA
AT4G22070	AT3G27240	0.554678442547641	GENIE&WGCNA
AT2G02740	AT3G03630	0.554676736603944	GENIE&WGCNA
AT1G73870	AT4G14400	0.554472647094662	GENIE&WGCNA
AT5G59780	AT4G23290	0.554449348223187	GENIE&WGCNA
AT3G44750	AT1G52930	0.554431216104595	GENIE&WGCNA
AT1G29280	AT4G40090	0.554309687954596	GENIE&WGCNA
AT1G29280	AT1G29025	0.55423329682751	GENIE&WGCNA
AT3G02380	AT4G12750	0.554070724129428	GENIE&WGCNA
AT3G50750	AT2G01420	0.554024531289924	GENIE&WGCNA
AT4G22070	AT5G18860	0.5539371206946	GENIE&WGCNA
AT1G01010	AT2G32560	0.553810906540649	GENIE&WGCNA
AT1G70000	AT5G64420	0.553711027635746	GENIE&WGCNA
AT3G44750	AT3G55010	0.553492932905816	GENIE&WGCNA
AT2G02740	AT5G16990	0.553343722468937	GENIE&WGCNA
AT1G01010	AT5G15960	0.552979887377169	GENIE&WGCNA
AT3G02380	AT4G29510	0.55260099094135	GENIE&WGCNA
AT5G39860	AT1G72910	0.552587282773568	GENIE&WGCNA
AT4G12750	AT4G20020	0.552573062184207	GENIE&WGCNA
AT2G40620	AT3G50750	0.552527818250783	GENIE&WGCNA
AT4G17695	AT1G06190	0.552357846652477	GENIE&WGCNA
AT3G07340	AT3G13060	0.551951292632898	GENIE&WGCNA
AT2G31380	AT4G29510	0.551648863496125	GENIE&WGCNA
AT1G71260	AT3G03630	0.551616236475664	GENIE&WGCNA
AT2G31380	AT5G20480	0.55157382290712	GENIE&WGCNA
AT4G12750	AT4G29510	0.551505419863721	GENIE&WGCNA
AT1G73870	AT2G26440	0.551440649754863	GENIE&WGCNA
AT4G32800	AT2G36870	0.551353090596855	GENIE&WGCNA
AT5G06510	AT1G60870	0.551248251147255	GENIE&WGCNA
AT1G19000	AT1G79470	0.55123923406105	GENIE&WGCNA
AT3G44750	AT4G01560	0.551057769320618	GENIE&WGCNA
AT3G02380	AT5G08610	0.550994396983063	GENIE&WGCNA
AT1G71260	AT2G31890	0.550731335909238	GENIE&WGCNA
AT2G46270	AT5G24380	0.550719030669476	GENIE&WGCNA
AT5G39660	AT3G04770	0.550716715337846	GENIE&WGCNA
AT2G40620	AT4G16990	0.550065360809241	GENIE&WGCNA
