Gene1	Gene2	Correlation	source
AT1G06180	AT1G72490	0.655394314913073	GENIE&WGCNA
AT1G26260	AT5G17000	0.654952392934236	GENIE&WGCNA
AT5G41920	AT4G34960	0.654937806888139	GENIE&WGCNA
AT1G19700	AT3G20440	0.653306706967761	GENIE&WGCNA
AT1G19700	AT1G06430	0.652223331001369	GENIE&WGCNA
AT1G19700	AT4G15490	0.652158470554883	GENIE&WGCNA
AT4G34000	AT4G37470	0.652054749558096	GENIE&WGCNA
AT5G22290	AT5G43260	0.651865856057832	GENIE&WGCNA
AT1G19700	AT5G19855	0.651672738657732	GENIE&WGCNA
AT1G06180	AT2G38280	0.651542359753991	GENIE&WGCNA
AT2G44730	AT1G70060	0.650295691061654	GENIE&WGCNA
AT2G24260	AT4G21650	0.650075328968496	GENIE&WGCNA
AT2G44730	AT1G13210	0.649894237878505	GENIE&WGCNA
AT1G06180	AT1G07510	0.649860279759976	GENIE&WGCNA
AT2G44730	AT5G60820	0.6495867323416	GENIE&WGCNA
AT2G44730	AT5G40910	0.649510827931876	GENIE&WGCNA
AT3G23690	AT3G62630	0.649501517306497	GENIE&WGCNA
AT2G16720	AT5G44930	0.649303204463266	GENIE&WGCNA
AT2G40340	AT5G61640	0.649268407426631	GENIE&WGCNA
AT1G19700	AT1G62500	0.649202658313006	GENIE&WGCNA
AT2G40950	AT2G17540	0.649161803475688	GENIE&WGCNA
AT5G65310	AT5G25510	0.648950443091445	GENIE&WGCNA
AT1G32870	AT2G45960	0.648885485426589	GENIE&WGCNA
AT2G27110	AT2G44730	0.648689231468942	GENIE&WGCNA
AT1G58110	AT5G45510	0.648625869104157	GENIE&WGCNA
AT1G19700	AT5G53050	0.648580538854724	GENIE&WGCNA
AT1G14920	AT3G49870	0.648520057646756	GENIE&WGCNA
AT1G19700	AT5G09230	0.648418834655072	GENIE&WGCNA
AT1G58110	AT1G29785	0.648293929266828	GENIE&WGCNA
AT1G30210	AT5G53400	0.648138943219101	GENIE&WGCNA
AT4G00180	AT5G51040	0.647981913192744	GENIE&WGCNA
AT5G45260	AT4G10040	0.647755371560984	GENIE&WGCNA
AT1G19700	AT4G17340	0.647639032844929	GENIE&WGCNA
AT1G19700	AT1G68010	0.647624549386495	GENIE&WGCNA
AT1G58110	AT2G47830	0.647415377146728	GENIE&WGCNA
AT2G44730	AT3G09035	0.647327456475406	GENIE&WGCNA
AT4G36900	AT3G26780	0.646833863705972	GENIE&WGCNA
AT5G65310	AT4G11530	0.646780623208714	GENIE&WGCNA
AT3G23690	AT2G44410	0.646750787573127	GENIE&WGCNA
AT2G40340	AT4G10360	0.64669321814255	GENIE&WGCNA
AT1G19700	AT5G24155	0.646263558141674	GENIE&WGCNA
AT1G58110	AT1G62680	0.645914025056796	GENIE&WGCNA
AT1G19700	AT3G08940	0.645571526472769	GENIE&WGCNA
AT1G19700	AT5G03970	0.645541208638707	GENIE&WGCNA
AT3G60630	AT2G44730	0.645477126384631	GENIE&WGCNA
AT1G72010	AT3G13690	0.645458741793712	GENIE&WGCNA
AT1G19700	AT1G03130	0.645224510056004	GENIE&WGCNA
AT1G19700	AT1G10900	0.645118877634551	GENIE&WGCNA
AT1G26260	AT1G79600	0.645017126645646	GENIE&WGCNA
AT5G03740	AT4G24280	0.644814823280153	GENIE&WGCNA
AT1G58110	AT4G00230	0.644779839096554	GENIE&WGCNA
AT1G58110	AT1G53350	0.644584874972799	GENIE&WGCNA
AT1G19700	AT3G07700	0.644417176344511	GENIE&WGCNA
AT5G22290	AT3G18440	0.644384857722089	GENIE&WGCNA
AT1G01720	AT5G44930	0.644304634583897	GENIE&WGCNA
AT2G37060	AT1G03360	0.644239766263594	GENIE&WGCNA
AT4G01280	AT1G05690	0.644166266121733	GENIE&WGCNA
AT1G26260	AT5G53490	0.643859727546698	GENIE&WGCNA
AT2G28200	AT3G49870	0.643782451213098	GENIE&WGCNA
AT1G19700	AT4G12730	0.643651842013833	GENIE&WGCNA
AT5G12850	AT1G12860	0.643620693151042	GENIE&WGCNA
AT2G35940	AT3G18390	0.643551157630595	GENIE&WGCNA
AT1G19700	AT3G15430	0.643514894207339	GENIE&WGCNA
AT1G06180	AT1G76650	0.643453435990751	GENIE&WGCNA
AT1G06180	AT4G23820	0.643254082859368	GENIE&WGCNA
AT5G65310	AT5G54200	0.643245265636931	GENIE&WGCNA
AT1G58110	AT5G15580	0.643086744442941	GENIE&WGCNA
AT5G63790	AT1G69610	0.642629652663671	GENIE&WGCNA
AT2G44730	AT2G33540	0.642624309101008	GENIE&WGCNA
AT5G03740	AT2G26860	0.642591366362814	GENIE&WGCNA
AT3G60630	AT3G63240	0.642548080783773	GENIE&WGCNA
AT5G04340	AT3G17365	0.64236232303704	GENIE&WGCNA
AT1G58110	AT5G14950	0.642321883893443	GENIE&WGCNA
AT2G27110	AT1G13180	0.642316672749425	GENIE&WGCNA
AT1G14580	AT3G19540	0.642297983035301	GENIE&WGCNA
AT1G58110	AT1G13180	0.642183349465574	GENIE&WGCNA
AT1G58110	AT4G40040	0.642178226088442	GENIE&WGCNA
