ID	Description	gene_count	total_in_cluster	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	cluster	percent_genes
GO:0042254	ribosome biogenesis	22	57	336/21384	0.06547619047619048	24.56390977443609	22.50704263713435	2.210502366449277e-25	7.316762832947106e-23	5.375011017366136e-23	AtTRM4h/RLUA2/RRP7/RH5/RID2/NA/PPAN/NA/NA/ATRPS5B/EMB2777/eS27z/EDA7/IMP4/atBRX1-1/NA/ATFBR1/PES/ARPF2/NA/atBRX1-2/MEE49	22	1	38.59649122807017
GO:0006364	rRNA processing	20	57	243/21384	0.0823045267489712	30.87719298245614	24.215142400575182	4.869079687171665e-25	8.058326882269106e-23	5.919775830192919e-23	AtTRM4h/RLUA2/RRP7/RH5/RID2/NA/PPAN/NA/NA/EMB2777/EDA7/IMP4/atBRX1-1/NA/ATFBR1/PES/ARPF2/NA/atBRX1-2/MEE49	20	1	35.08771929824561
GO:0016072	rRNA metabolic process	20	57	265/21384	0.07547169811320754	28.313803376365442	23.129982380656777	2.8447227811289977e-24	3.1386774685123274e-22	2.305722675230872e-22	AtTRM4h/RLUA2/RRP7/RH5/RID2/NA/PPAN/NA/NA/EMB2777/EDA7/IMP4/atBRX1-1/NA/ATFBR1/PES/ARPF2/NA/atBRX1-2/MEE49	20	1	35.08771929824561
GO:0022613	ribonucleoprotein complex biogenesis	22	57	413/21384	0.053268765133171914	19.984197782592076	20.140236539657373	2.0922546855688152e-23	1.7313407523081946e-21	1.2718706114905166e-21	AtTRM4h/RLUA2/RRP7/RH5/RID2/NA/PPAN/NA/NA/ATRPS5B/EMB2777/eS27z/EDA7/IMP4/atBRX1-1/NA/ATFBR1/PES/ARPF2/NA/atBRX1-2/MEE49	22	1	38.59649122807017
GO:0042273	ribosomal large subunit biogenesis	7	57	67/21384	0.1044776119402985	39.19560094265515	16.188051128107745	5.016703469749457e-10	3.321057696974141e-8	2.4397021084465778e-8	PPAN/NA/atBRX1-1/PES/ARPF2/atBRX1-2/MEE49	7	1	12.280701754385964
GO:0000470	maturation of LSU-rRNA	5	57	34/21384	0.14705882352941177	55.170278637770906	16.342122049905523	2.949515833385932e-8	1.6271495680845725e-6	1.1953301008985094e-6	PPAN/NA/PES/ARPF2/MEE49	5	1	8.771929824561402
GO:0000154	rRNA modification	5	57	41/21384	0.12195121951219512	45.75096277278562	14.827688052117923	7.831666467726647e-8	3.7032594297393144e-6	2.720473615105046e-6	AtTRM4h/RLUA2/RID2/NA/ATFBR1	5	1	8.771929824561402
GO:0042274	ribosomal small subunit biogenesis	6	57	93/21384	0.06451612903225806	24.203735144312393	11.59333019210345	1.7443449900611118e-7	6.48849978761639e-6	4.766555735218273e-6	RRP7/NA/ATRPS5B/EMB2777/eS27z/EDA7	6	1	10.526315789473683
GO:0042255	ribosome assembly	5	57	48/21384	0.10416666666666667	39.078947368421055	13.653874703897378	1.7642446552431272e-7	6.48849978761639e-6	4.766555735218273e-6	RRP7/ATRPS5B/eS27z/atBRX1-1/atBRX1-2	5	1	8.771929824561402
GO:0022618	protein-RNA complex assembly	5	57	120/21384	0.041666666666666664	15.631578947368421	8.309333644366431	1.6970821965115592e-5	5.467428420332714e-4	4.0164603755664076e-4	RRP7/ATRPS5B/eS27z/atBRX1-1/atBRX1-2	5	1	8.771929824561402
GO:0071826	protein-RNA complex organization	5	57	122/21384	0.040983606557377046	15.37532355478861	8.231942878458995	1.8384250688662217e-5	5.467428420332714e-4	4.0164603755664076e-4	RRP7/ATRPS5B/eS27z/atBRX1-1/atBRX1-2	5	1	8.771929824561402
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3	57	20/21384	0.15	56.27368421052631	12.784948634507126	1.9821492762535517e-5	5.467428420332714e-4	4.0164603755664076e-4	PPAN/PES/ARPF2	3	1	5.263157894736842
GO:0140694	non-membrane-bounded organelle assembly	5	57	133/21384	0.03759398496240601	14.10368025326474	7.836755247532084	2.7877332534582794e-5	7.097997745343773e-4	5.214302684606175e-4	RRP7/ATRPS5B/eS27z/atBRX1-1/atBRX1-2	5	1	8.771929824561402
GO:0001510	RNA methylation	4	57	68/21384	0.058823529411764705	22.068111455108358	8.995681472202353	3.253245206360027e-5	7.691601166465493e-4	5.650373253151627e-4	AtTRM4h/RID2/AtTRM5c/ATFBR1	4	1	7.017543859649122
GO:0009451	RNA modification	7	57	359/21384	0.019498607242339833	7.315056443336754	6.238257824317372	4.555805549830714e-5	0.0010053144246626442	7.385200575515052e-4	AtTRM4h/RLUA2/RID2/AtTRM5c/MORF1/NA/ATFBR1	7	1	12.280701754385964
GO:0031167	rRNA methylation	3	57	27/21384	0.1111111111111111	41.68421052631579	10.935647747585794	5.018844995409306e-5	0.0010382735584253003	7.627323644339144e-4	AtTRM4h/RID2/ATFBR1	3	1	5.263157894736842
GO:0043414	macromolecule methylation	4	57	80/21384	0.05	18.757894736842108	8.226455549907294	6.169719050494433e-5	0.0012012805915962688	8.824799384917734e-4	AtTRM4h/RID2/AtTRM5c/ATFBR1	4	1	7.017543859649122
GO:0000028	ribosomal small subunit assembly	3	57	32/21384	0.09375	35.171052631578945	10.000481884143756	8.430476525889398e-5	0.0015502709611496617	0.001138853846479796	RRP7/ATRPS5B/eS27z	3	1	5.263157894736842
GO:0070925	organelle assembly	5	57	186/21384	0.026881720430107527	10.084889643463498	6.433325799861208	1.369279591506067e-4	0.0023854291830974115	0.001752374435667044	RRP7/ATRPS5B/eS27z/atBRX1-1/atBRX1-2	5	1	8.771929824561402
GO:0048574	long-day photoperiodism, flowering	3	57	48/21384	0.0625	23.44736842105263	8.048897804025199	2.8522323480846394e-4	0.004720444536080079	0.003467714065302904	AtCCA1/HLP1/LHY	3	1	5.263157894736842
GO:0009123	nucleoside monophosphate metabolic process	3	57	49/21384	0.061224489795918366	22.968850698174005	7.9591358066496785	3.032515942600088e-4	0.004779822747622044	0.003511334249326418	NA/NA/ATPURM	3	1	5.263157894736842
GO:0030490	maturation of SSU-rRNA	3	57	51/21384	0.058823529411764705	22.068111455108358	7.787383989300578	3.414792298264249e-4	0.005137710230570302	0.00377424411913417	NA/EMB2777/EDA7	3	1	5.263157894736842
GO:0048571	long-day photoperiodism	3	57	53/21384	0.05660377358490566	21.235352532274085	7.62517759618984	3.826818306875341e-4	0.005507290693807556	0.004045743839305281	AtCCA1/HLP1/LHY	3	1	5.263157894736842
GO:0010162	seed dormancy process	3	57	55/21384	0.05454545454545454	20.463157894736838	7.471645614949064	4.269544054774163e-4	0.005652876328520992	0.004152693375380344	ATHD2A/HD2D/ATHD2	3	1	5.263157894736842
GO:0022611	dormancy process	3	57	55/21384	0.05454545454545454	20.463157894736838	7.471645614949064	4.269544054774163e-4	0.005652876328520992	0.004152693375380344	ATHD2A/HD2D/ATHD2	3	1	5.263157894736842
GO:0031118	rRNA pseudouridine synthesis	2	57	12/21384	0.16666666666666666	62.526315789473685	11.021375822118557	4.5289907969226834e-4	0.0056767672276991366	0.004170244012079823	RLUA2/NA	2	1	3.508771929824561
GO:0032259	methylation	4	57	135/21384	0.02962962962962963	11.115789473684211	6.095429038847224	4.630595623802921e-4	0.0056767672276991366	0.004170244012079823	AtTRM4h/RID2/AtTRM5c/ATFBR1	4	1	7.017543859649122
GO:0006189	'de novo' IMP biosynthetic process	2	57	14/21384	0.14285714285714285	53.59398496240601	10.17664666407634	6.223159754224243e-4	0.007356663852315087	0.005404322944457895	NA/ATPURM	2	1	3.508771929824561
GO:0006188	IMP biosynthetic process	2	57	16/21384	0.125	46.89473684210526	9.493968777624392	8.178306792145548e-4	0.009334550166207505	0.0068573098692763035	NA/ATPURM	2	1	3.508771929824561
GO:0046040	IMP metabolic process	2	57	17/21384	0.11764705882352941	44.136222910216716	9.198174868916006	9.252893433235503e-4	0.0098797023432288765	0.007257787378870633	NA/ATPURM	2	1	3.508771929824561
GO:0070475	rRNA base methylation	2	57	17/21384	0.11764705882352941	44.136222910216716	9.198174868916006	9.252893433235503e-4	0.0098797023432288765	0.007257787378870633	AtTRM4h/RID2	2	1	3.508771929824561
GO:0048573	photoperiodism, flowering	4	57	164/21384	0.024390243902439025	9.150192554557126	5.416565072800728	9.60097635985639e-4	0.009931009922226453	0.007295478747127717	AtCCA1/ATCOL2/HLP1/LHY	4	1	7.017543859649122
GO:0009648	photoperiodism	4	57	177/21384	0.022598870056497175	8.47814451382694	5.164731276558994	0.0012732037490481983	0.012770619422271324	0.009381501308776198	AtCCA1/ATCOL2/HLP1/LHY	4	1	7.017543859649122
GO:0009944	polarity specification of adaxial/abaxial axis	2	57	23/21384	0.08695652173913043	32.62242562929062	7.844317603109158	0.001703730952564231	0.016586321920551775	0.01218457740069156	ATHD2A/ATHD2	2	1	3.508771929824561
GO:0010431	seed maturation	3	57	90/21384	0.03333333333333333	12.505263157894737	5.654523949617085	0.0017898932141710577	0.016677765676585705	0.012251753446625215	ATHD2A/HD2D/ATHD2	3	1	5.263157894736842
GO:0009260	ribonucleotide biosynthetic process	3	57	92/21384	0.03260869565217391	12.23340961098398	5.582183920104605	0.0019061195578401605	0.016677765676585705	0.012251753446625215	NA/NA/ATPURM	3	1	5.263157894736842
GO:0001522	pseudouridine synthesis	2	57	25/21384	0.08	30.012631578947367	7.503666625956133	0.0020133384058937547	0.016677765676585705	0.012251753446625215	RLUA2/NA	2	1	3.508771929824561
GO:0009126	purine nucleoside monophosphate metabolic process	2	57	26/21384	0.07692307692307693	28.858299595141702	7.347978024956478	0.002177391902667613	0.016677765676585705	0.012251753446625215	NA/ATPURM	2	1	3.508771929824561
GO:0009127	purine nucleoside monophosphate biosynthetic process	2	57	26/21384	0.07692307692307693	28.858299595141702	7.347978024956478	0.002177391902667613	0.016677765676585705	0.012251753446625215	NA/ATPURM	2	1	3.508771929824561
GO:0009167	purine ribonucleoside monophosphate metabolic process	2	57	26/21384	0.07692307692307693	28.858299595141702	7.347978024956478	0.002177391902667613	0.016677765676585705	0.012251753446625215	NA/ATPURM	2	1	3.508771929824561
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	2	57	26/21384	0.07692307692307693	28.858299595141702	7.347978024956478	0.002177391902667613	0.016677765676585705	0.012251753446625215	NA/ATPURM	2	1	3.508771929824561
GO:0009292	horizontal gene transfer	2	57	26/21384	0.07692307692307693	28.858299595141702	7.347978024956478	0.002177391902667613	0.016677765676585705	0.012251753446625215	ATHD2A/ATHD2	2	1	3.508771929824561
GO:0009294	DNA-mediated transformation	2	57	26/21384	0.07692307692307693	28.858299595141702	7.347978024956478	0.002177391902667613	0.016677765676585705	0.012251753446625215	ATHD2A/ATHD2	2	1	3.508771929824561
GO:0046390	ribose phosphate biosynthetic process	3	57	97/21384	0.030927835051546393	11.602821486706457	5.41074351887912	0.002216983957008372	0.016677765676585705	0.012251753446625215	NA/NA/ATPURM	3	1	5.263157894736842
GO:0009943	adaxial/abaxial axis specification	2	57	28/21384	0.07142857142857142	26.796992481203006	7.06146804255197	0.002523834591214567	0.01856420554871159	0.013637562352527837	ATHD2A/ATHD2	2	1	3.508771929824561
GO:0065001	specification of axis polarity	2	57	32/21384	0.0625	23.44736842105263	6.569434768713611	0.0032891531087179617	0.023667601717079247	0.017386598812673893	ATHD2A/ATHD2	2	1	3.508771929824561
