ID	Description	gene_count	total_in_cluster	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	cluster	percent_genes
GO:0009408	response to heat	23	421	305/21384	0.07540983606557378	3.8303181340290493	7.05519172816606	4.504338703669264e-8	6.301569846433301e-5	5.343568125300275e-5	AtERF48/BOB1/DREB2/Hop3/AT-HSFB1/ABCG36/E13L3/HSP60/ERF54/BZIP28/ATHSP70/ATHS83/HSP17.8/HSP18.5/ATFKBP65/PME53/CLPB-M/NA/ATJ/ATMBF1C/ATERDJ3A/HSP17.4B/ATBAG7	23	1	5.463182897862233
GO:0052544	defense response by callose deposition in cell wall	6	421	16/21384	0.375	19.04750593824228	10.233964259468651	3.8078415084771806e-7	2.663585135179788e-4	2.258651252659886e-4	ABCG36/AtMYB51/FLS2/BGLU26/ATGSL05/ATR4	6	1	1.4251781472684086
GO:0052482	defense response by cell wall thickening	6	421	17/21384	0.35294117647058826	17.927064412463324	9.894252316183751	5.78723687128773e-7	2.698781460977178e-4	2.288496825944306e-4	ABCG36/AtMYB51/FLS2/BGLU26/ATGSL05/ATR4	6	1	1.4251781472684086
GO:0045087	innate immune response	19	421	297/21384	0.06397306397306397	3.2494061757719717	5.532066060410604	7.6084970934497055e-6	0.0026610718584340345	0.002256520059031005	anac089/ATWRKY52/CRK34/MEE54/ATMYB30/EMB2789/ATGLR3.3/ABCG36/AtMYB51/FLS2/BGLU26/XLG2/ATCNGC2/PBL40/ATGSL05/ATWRKY70/ATR4/DRN1/ATPAD4	19	1	4.513064133016627
GO:0006955	immune response	20	421	346/21384	0.057803468208092484	2.9360317438523746	5.145137039853046	1.947938225089158e-5	0.003699098337350435	0.0031367396457574514	anac089/ATWRKY52/CRK34/MEE54/ATMYB30/EMB2789/ATGLR3.3/ABCG36/AtMYB51/FLS2/BGLU26/XLG2/ATCNGC2/PBL40/CRK28/ATGSL05/ATWRKY70/ATR4/DRN1/ATPAD4	20	1	4.750593824228028
GO:0052542	defense response by callose deposition	6	421	30/21384	0.2	10.158669833729217	7.113806698690141	2.2351289981565127e-5	0.003699098337350435	0.0031367396457574514	ABCG36/AtMYB51/FLS2/BGLU26/ATGSL05/ATR4	6	1	1.4251781472684086
GO:0052543	callose deposition in cell wall	6	421	30/21384	0.2	10.158669833729217	7.113806698690141	2.2351289981565127e-5	0.003699098337350435	0.0031367396457574514	ABCG36/AtMYB51/FLS2/BGLU26/ATGSL05/ATR4	6	1	1.4251781472684086
GO:0002376	immune system process	20	421	350/21384	0.05714285714285714	2.9024770953512045	5.085587991690852	2.2963090187113762e-5	0.003699098337350435	0.0031367396457574514	anac089/ATWRKY52/CRK34/MEE54/ATMYB30/EMB2789/ATGLR3.3/ABCG36/AtMYB51/FLS2/BGLU26/XLG2/ATCNGC2/PBL40/CRK28/ATGSL05/ATWRKY70/ATR4/DRN1/ATPAD4	20	1	4.750593824228028
GO:0010150	leaf senescence	13	421	169/21384	0.07692307692307693	3.9071807052804677	5.377030631962533	3.172963058304911e-5	0.003699098337350435	0.0031367396457574514	DEAR4/COR78/CAMTA3/NA/ATWRKY54/anac032/ATGSL05/DLO1/ATWRKY70/AtDMR6/BB/NSH2/ATPAD4	13	1	3.0878859857482186
GO:0140546	defense response to symbiont	22	421	419/21384	0.05250596658711217	2.666953894296453	4.88350700295833	3.308430015806762e-5	0.003699098337350435	0.0031367396457574514	anac089/ARL8a/ATWRKY52/CRK34/MEE54/ATMYB30/EMB2789/ATGLR3.3/ABCG36/AtMYB51/FLS2/BGLU26/ATBXL4/XLG2/ATCNGC2/PBL40/ATGSL05/ATWRKY70/ATR4/DRN1/AtDBP1/ATPAD4	22	1	5.225653206650831
